العربية,English,বাংলা,فارسی,Français,Indonesia,Italiano,Dutch,Português,русский,Shqip,ภาษาไทย,Türkçe,اردو,简体中文,Melayu,Español,Kiswahili,Tiếng Việt
"اقرأ سورة At-Tin","Read Surah Az-Zalzalah","পড়ুন সূরা Al-Ikhlas","خواندن سوره Al-Ikhlas","Lire Sourate Al-Ikhlas","Baca Surah Al-Ikhlas","Leggi Sura Al-Ikhlas","Lees Soera Al-Ikhlas","Ler Surata Al-Ikhlas","Читать Сура Al-Ikhlas","Lexo Sure Al-Ikhlas","อ่านซูเราะห์ Al-Ikhlas","Oku Sure Al-Ikhlas","پڑھیں سورہ Al-Ikhlas","读苏拉 Al-Ikhlas","Baca Surah Al-Ikhlas","Leer Sura Al-Ikhlas","Soma Sura Al-Ikhlas","Đọc Surah Al-Falaq"
"اقرأ سورة Al-'Alaq","Read Surah Al-'Adiyat","পড়ুন সূরা Al-Falaq","خواندن سوره Al-Falaq","Lire Sourate Al-Falaq","Baca Surah Al-Falaq","Leggi Sura Al-Falaq","Lees Soera Al-Falaq","Ler Surata Al-Falaq","Читать Сура Al-Falaq","Lexo Sure Al-Falaq","อ่านซูเราะห์ Al-Falaq","Oku Sure Al-Falaq","پڑھیں سورہ Al-Falaq","读苏拉 Al-Falaq","Baca Surah Al-Falaq","Leer Sura Al-Falaq","Soma Sura Al-Falaq","Đọc Surah An-Nas"
"اقرأ سورة Al-Qadr","Read Surah Al-Qari'ah","পড়ুন সূরা An-Nas","خواندن سوره An-Nas","Lire Sourate An-Nas","Baca Surah An-Nas","Leggi Sura An-Nas","Lees Soera An-Nas","Ler Surata An-Nas","Читать Сура An-Nas","Lexo Sure An-Nas","อ่านซูเราะห์ An-Nas","Oku Sure An-Nas","پڑھیں سورہ An-Nas","读苏拉 An-Nas","Baca Surah An-Nas","Leer Sura An-Nas","Soma Sura An-Nas","Nghe Surah Al-Fatihah"
"اقرأ سورة Al-Bayyinah","Read Surah At-Takathur","শুনুন সূরা Al-Fatihah","شنیدن سوره Al-Fatihah","Écouter Sourate Al-Fatihah","Dengarkan Surah Al-Fatihah","Ascolta Sura Al-Fatihah","Luister Soera Al-Fatihah","Ouvir Surata Al-Fatihah","Слушать Сура Al-Fatihah","Dëgjo Sure Al-Fatihah","ฟังซูเราะห์ Al-Fatihah","Dinle Sure Al-Fatihah","سنیں سورہ Al-Fatihah","听苏拉 Al-Fatihah","Dengar Surah Al-Fatihah","Escuchar Sura Al-Fatihah","Sikiliza Sura Al-Fatihah","Nghe Surah Al-Baqarah"
"اقرأ سورة Az-Zalzalah","Read Surah Al-'Asr","শুনুন সূরা Al-Baqarah","شنیدن سوره Al-Baqarah","Écouter Sourate Al-Baqarah","Dengarkan Surah Al-Baqarah","Ascolta Sura Al-Baqarah","Luister Soera Al-Baqarah","Ouvir Surata Al-Baqarah","Слушать Сура Al-Baqarah","Dëgjo Sure Al-Baqarah","ฟังซูเราะห์ Al-Baqarah","Dinle Sure Al-Baqarah","سنیں سورہ Al-Baqarah","听苏拉 Al-Baqarah","Dengar Surah Al-Baqarah","Escuchar Sura Al-Baqarah","Sikiliza Sura Al-Baqarah","Nghe Surah Ali Imran"
"اقرأ سورة Al-'Adiyat","Read Surah Al-Humazah","শুনুন সূরা Ali Imran","شنیدن سوره Ali Imran","Écouter Sourate Ali Imran","Dengarkan Surah Ali Imran","Ascolta Sura Ali Imran","Luister Soera Ali Imran","Ouvir Surata Ali Imran","Слушать Сура Ali Imran","Dëgjo Sure Ali Imran","ฟังซูเราะห์ Ali Imran","Dinle Sure Ali Imran","سنیں سورہ Ali Imran","听苏拉 Ali Imran","Dengar Surah Ali Imran","Escuchar Sura Ali Imran","Sikiliza Sura Ali Imran","Nghe Surah An-Nisa"
"اقرأ سورة Al-Qari'ah","Read Surah Al-Fil","শুনুন সূরা An-Nisa","شنیدن سوره An-Nisa","Écouter Sourate An-Nisa","Dengarkan Surah An-Nisa","Ascolta Sura An-Nisa","Luister Soera An-Nisa","Ouvir Surata An-Nisa","Слушать Сура An-Nisa","Dëgjo Sure An-Nisa","ฟังซูเราะห์ An-Nisa","Dinle Sure An-Nisa","سنیں سورہ An-Nisa","听苏拉 An-Nisa","Dengar Surah An-Nisa","Escuchar Sura An-Nisa","Sikiliza Sura An-Nisa","Nghe Surah Al-Ma'idah"
"اقرأ سورة At-Takathur","Read Surah Quraish","শুনুন সূরা Al-Ma'idah","شنیدن سوره Al-Ma'idah","Écouter Sourate Al-Ma'idah","Dengarkan Surah Al-Ma'idah","Ascolta Sura Al-Ma'idah","Luister Soera Al-Ma'idah","Ouvir Surata Al-Ma'idah","Слушать Сура Al-Ma'idah","Dëgjo Sure Al-Ma'idah","ฟังซูเราะห์ Al-Ma'idah","Dinle Sure Al-Ma'idah","سنیں سورہ Al-Ma'idah","听苏拉 Al-Ma'idah","Dengar Surah Al-Ma'idah","Escuchar Sura Al-Ma'idah","Sikiliza Sura Al-Ma'idah","Nghe Surah Al-An'am"
"اقرأ سورة Al-'Asr","Read Surah Al-Ma'un","শুনুন সূরা Al-An'am","شنیدن سوره Al-An'am","Écouter Sourate Al-An'am","Dengarkan Surah Al-An'am","Ascolta Sura Al-An'am","Luister Soera Al-An'am","Ouvir Surata Al-An'am","Слушать Сура Al-An'am","Dëgjo Sure Al-An'am","ฟังซูเราะห์ Al-An'am","Dinle Sure Al-An'am","سنیں سورہ Al-An'am","听苏拉 Al-An'am","Dengar Surah Al-An'am","Escuchar Sura Al-An'am","Sikiliza Sura Al-An'am","Nghe Surah Al-A'raf"
"اقرأ سورة Al-Humazah","Read Surah Al-Kauthar","শুনুন সূরা Al-A'raf","شنیدن سوره Al-A'raf","Écouter Sourate Al-A'raf","Dengarkan Surah Al-A'raf","Ascolta Sura Al-A'raf","Luister Soera Al-A'raf","Ouvir Surata Al-A'raf","Слушать Сура Al-A'raf","Dëgjo Sure Al-A'raf","ฟังซูเราะห์ Al-A'raf","Dinle Sure Al-A'raf","سنیں سورہ Al-A'raf","听苏拉 Al-A'raf","Dengar Surah Al-A'raf","Escuchar Sura Al-A'raf","Sikiliza Sura Al-A'raf","Nghe Surah Al-Anfal"
"اقرأ سورة Al-Fil","Read Surah Al-Kafirun","শুনুন সূরা Al-Anfal","شنیدن سوره Al-Anfal","Écouter Sourate Al-Anfal","Dengarkan Surah Al-Anfal","Ascolta Sura Al-Anfal","Luister Soera Al-Anfal","Ouvir Surata Al-Anfal","Слушать Сура Al-Anfal","Dëgjo Sure Al-Anfal","ฟังซูเราะห์ Al-Anfal","Dinle Sure Al-Anfal","سنیں سورہ Al-Anfal","听苏拉 Al-Anfal","Dengar Surah Al-Anfal","Escuchar Sura Al-Anfal","Sikiliza Sura Al-Anfal","Nghe Surah At-Tawbah"
"اقرأ سورة Quraish","Read Surah An-Nasr","শুনুন সূরা At-Tawbah","شنیدن سوره At-Tawbah","Écouter Sourate At-Tawbah","Dengarkan Surah At-Tawbah","Ascolta Sura At-Tawbah","Luister Soera At-Tawbah","Ouvir Surata At-Tawbah","Слушать Сура At-Tawbah","Dëgjo Sure At-Tawbah","ฟังซูเราะห์ At-Tawbah","Dinle Sure At-Tawbah","سنیں سورہ At-Tawbah","听苏拉 At-Tawbah","Dengar Surah At-Tawbah","Escuchar Sura At-Tawbah","Sikiliza Sura At-Tawbah","Nghe Surah Yunus"
"اقرأ سورة Al-Ma'un","Read Surah Al-Masad","শুনুন সূরা Yunus","شنیدن سوره Yunus","Écouter Sourate Yunus","Dengarkan Surah Yunus","Ascolta Sura Yunus","Luister Soera Yunus","Ouvir Surata Yunus","Слушать Сура Yunus","Dëgjo Sure Yunus","ฟังซูเราะห์ Yunus","Dinle Sure Yunus","سنیں سورہ Yunus","听苏拉 Yunus","Dengar Surah Yunus","Escuchar Sura Yunus","Sikiliza Sura Yunus","Nghe Surah Hud"
"اقرأ سورة Al-Kauthar","Read Surah Al-Ikhlas","শুনুন সূরা Hud","شنیدن سوره Hud","Écouter Sourate Hud","Dengarkan Surah Hud","Ascolta Sura Hud","Luister Soera Hud","Ouvir Surata Hud","Слушать Сура Hud","Dëgjo Sure Hud","ฟังซูเราะห์ Hud","Dinle Sure Hud","سنیں سورہ Hud","听苏拉 Hud","Dengar Surah Hud","Escuchar Sura Hud","Sikiliza Sura Hud","Nghe Surah Yusuf"
"اقرأ سورة Al-Kafirun","Read Surah Al-Falaq","শুনুন সূরা Yusuf","شنیدن سوره Yusuf","Écouter Sourate Yusuf","Dengarkan Surah Yusuf","Ascolta Sura Yusuf","Luister Soera Yusuf","Ouvir Surata Yusuf","Слушать Сура Yusuf","Dëgjo Sure Yusuf","ฟังซูเราะห์ Yusuf","Dinle Sure Yusuf","سنیں سورہ Yusuf","听苏拉 Yusuf","Dengar Surah Yusuf","Escuchar Sura Yusuf","Sikiliza Sura Yusuf","Nghe Surah Ar-Ra'd"
"اقرأ سورة An-Nasr","Read Surah An-Nas","শুনুন সূরা Ar-Ra'd","شنیدن سوره Ar-Ra'd","Écouter Sourate Ar-Ra'd","Dengarkan Surah Ar-Ra'd","Ascolta Sura Ar-Ra'd","Luister Soera Ar-Ra'd","Ouvir Surata Ar-Ra'd","Слушать Сура Ar-Ra'd","Dëgjo Sure Ar-Ra'd","ฟังซูเราะห์ Ar-Ra'd","Dinle Sure Ar-Ra'd","سنیں سورہ Ar-Ra'd","听苏拉 Ar-Ra'd","Dengar Surah Ar-Ra'd","Escuchar Sura Ar-Ra'd","Sikiliza Sura Ar-Ra'd","Nghe Surah Ibrahim"
"اقرأ سورة Al-Masad","Listen to Surah Al-Fatihah","শুনুন সূরা Ibrahim","شنیدن سوره Ibrahim","Écouter Sourate Ibrahim","Dengarkan Surah Ibrahim","Ascolta Sura Ibrahim","Luister Soera Ibrahim","Ouvir Surata Ibrahim","Слушать Сура Ibrahim","Dëgjo Sure Ibrahim","ฟังซูเราะห์ Ibrahim","Dinle Sure Ibrahim","سنیں سورہ Ibrahim","听苏拉 Ibrahim","Dengar Surah Ibrahim","Escuchar Sura Ibrahim","Sikiliza Sura Ibrahim","Nghe Surah Al-Hijr"
"اقرأ سورة Al-Ikhlas","Listen to Surah Al-Baqarah","শুনুন সূরা Al-Hijr","شنیدن سوره Al-Hijr","Écouter Sourate Al-Hijr","Dengarkan Surah Al-Hijr","Ascolta Sura Al-Hijr","Luister Soera Al-Hijr","Ouvir Surata Al-Hijr","Слушать Сура Al-Hijr","Dëgjo Sure Al-Hijr","ฟังซูเราะห์ Al-Hijr","Dinle Sure Al-Hijr","سنیں سورہ Al-Hijr","听苏拉 Al-Hijr","Dengar Surah Al-Hijr","Escuchar Sura Al-Hijr","Sikiliza Sura Al-Hijr","Nghe Surah An-Nahl"
"اقرأ سورة Al-Falaq","Listen to Surah Ali Imran","শুনুন সূরা An-Nahl","شنیدن سوره An-Nahl","Écouter Sourate An-Nahl","Dengarkan Surah An-Nahl","Ascolta Sura An-Nahl","Luister Soera An-Nahl","Ouvir Surata An-Nahl","Слушать Сура An-Nahl","Dëgjo Sure An-Nahl","ฟังซูเราะห์ An-Nahl","Dinle Sure An-Nahl","سنیں سورہ An-Nahl","听苏拉 An-Nahl","Dengar Surah An-Nahl","Escuchar Sura An-Nahl","Sikiliza Sura An-Nahl","Nghe Surah Al-Isra"
"اقرأ سورة An-Nas","Listen to Surah An-Nisa","শুনুন সূরা Al-Isra","شنیدن سوره Al-Isra","Écouter Sourate Al-Isra","Dengarkan Surah Al-Isra","Ascolta Sura Al-Isra","Luister Soera Al-Isra","Ouvir Surata Al-Isra","Слушать Сура Al-Isra","Dëgjo Sure Al-Isra","ฟังซูเราะห์ Al-Isra","Dinle Sure Al-Isra","سنیں سورہ Al-Isra","听苏拉 Al-Isra","Dengar Surah Al-Isra","Escuchar Sura Al-Isra","Sikiliza Sura Al-Isra","Nghe Surah Al-Kahf"
"استمع سورة Al-Fatihah","Listen to Surah Al-Ma'idah","শুনুন সূরা Al-Kahf","شنیدن سوره Al-Kahf","Écouter Sourate Al-Kahf","Dengarkan Surah Al-Kahf","Ascolta Sura Al-Kahf","Luister Soera Al-Kahf","Ouvir Surata Al-Kahf","Слушать Сура Al-Kahf","Dëgjo Sure Al-Kahf","ฟังซูเราะห์ Al-Kahf","Dinle Sure Al-Kahf","سنیں سورہ Al-Kahf","听苏拉 Al-Kahf","Dengar Surah Al-Kahf","Escuchar Sura Al-Kahf","Sikiliza Sura Al-Kahf","Nghe Surah Maryam"
"استمع سورة Al-Baqarah","Listen to Surah Al-An'am","শুনুন সূরা Maryam","شنیدن سوره Maryam","Écouter Sourate Maryam","Dengarkan Surah Maryam","Ascolta Sura Maryam","Luister Soera Maryam","Ouvir Surata Maryam","Слушать Сура Maryam","Dëgjo Sure Maryam","ฟังซูเราะห์ Maryam","Dinle Sure Maryam","سنیں سورہ Maryam","听苏拉 Maryam","Dengar Surah Maryam","Escuchar Sura Maryam","Sikiliza Sura Maryam","Nghe Surah Ta-Ha"
"استمع سورة Ali Imran","Listen to Surah Al-A'raf","শুনুন সূরা Ta-Ha","شنیدن سوره Ta-Ha","Écouter Sourate Ta-Ha","Dengarkan Surah Ta-Ha","Ascolta Sura Ta-Ha","Luister Soera Ta-Ha","Ouvir Surata Ta-Ha","Слушать Сура Ta-Ha","Dëgjo Sure Ta-Ha","ฟังซูเราะห์ Ta-Ha","Dinle Sure Ta-Ha","سنیں سورہ Ta-Ha","听苏拉 Ta-Ha","Dengar Surah Ta-Ha","Escuchar Sura Ta-Ha","Sikiliza Sura Ta-Ha","Nghe Surah Al-Anbiya"
"استمع سورة An-Nisa","Listen to Surah Al-Anfal","শুনুন সূরা Al-Anbiya","شنیدن سوره Al-Anbiya","Écouter Sourate Al-Anbiya","Dengarkan Surah Al-Anbiya","Ascolta Sura Al-Anbiya","Luister Soera Al-Anbiya","Ouvir Surata Al-Anbiya","Слушать Сура Al-Anbiya","Dëgjo Sure Al-Anbiya","ฟังซูเราะห์ Al-Anbiya","Dinle Sure Al-Anbiya","سنیں سورہ Al-Anbiya","听苏拉 Al-Anbiya","Dengar Surah Al-Anbiya","Escuchar Sura Al-Anbiya","Sikiliza Sura Al-Anbiya","Nghe Surah Al-Hajj"
"استمع سورة Al-Ma'idah","Listen to Surah At-Tawbah","শুনুন সূরা Al-Hajj","شنیدن سوره Al-Hajj","Écouter Sourate Al-Hajj","Dengarkan Surah Al-Hajj","Ascolta Sura Al-Hajj","Luister Soera Al-Hajj","Ouvir Surata Al-Hajj","Слушать Сура Al-Hajj","Dëgjo Sure Al-Hajj","ฟังซูเราะห์ Al-Hajj","Dinle Sure Al-Hajj","سنیں سورہ Al-Hajj","听苏拉 Al-Hajj","Dengar Surah Al-Hajj","Escuchar Sura Al-Hajj","Sikiliza Sura Al-Hajj","Nghe Surah Al-Mu'minun"
"استمع سورة Al-An'am","Listen to Surah Yunus","শুনুন সূরা Al-Mu'minun","شنیدن سوره Al-Mu'minun","Écouter Sourate Al-Mu'minun","Dengarkan Surah Al-Mu'minun","Ascolta Sura Al-Mu'minun","Luister Soera Al-Mu'minun","Ouvir Surata Al-Mu'minun","Слушать Сура Al-Mu'minun","Dëgjo Sure Al-Mu'minun","ฟังซูเราะห์ Al-Mu'minun","Dinle Sure Al-Mu'minun","سنیں سورہ Al-Mu'minun","听苏拉 Al-Mu'minun","Dengar Surah Al-Mu'minun","Escuchar Sura Al-Mu'minun","Sikiliza Sura Al-Mu'minun","Nghe Surah An-Nur"
"استمع سورة Al-A'raf","Listen to Surah Hud","শুনুন সূরা An-Nur","شنیدن سوره An-Nur","Écouter Sourate An-Nur","Dengarkan Surah An-Nur","Ascolta Sura An-Nur","Luister Soera An-Nur","Ouvir Surata An-Nur","Слушать Сура An-Nur","Dëgjo Sure An-Nur","ฟังซูเราะห์ An-Nur","Dinle Sure An-Nur","سنیں سورہ An-Nur","听苏拉 An-Nur","Dengar Surah An-Nur","Escuchar Sura An-Nur","Sikiliza Sura An-Nur","Nghe Surah Al-Furqan"
"استمع سورة Al-Anfal","Listen to Surah Yusuf","শুনুন সূরা Al-Furqan","شنیدن سوره Al-Furqan","Écouter Sourate Al-Furqan","Dengarkan Surah Al-Furqan","Ascolta Sura Al-Furqan","Luister Soera Al-Furqan","Ouvir Surata Al-Furqan","Слушать Сура Al-Furqan","Dëgjo Sure Al-Furqan","ฟังซูเราะห์ Al-Furqan","Dinle Sure Al-Furqan","سنیں سورہ Al-Furqan","听苏拉 Al-Furqan","Dengar Surah Al-Furqan","Escuchar Sura Al-Furqan","Sikiliza Sura Al-Furqan","Nghe Surah Ash-Shu'ara"
"استمع سورة At-Tawbah","Listen to Surah Ar-Ra'd","শুনুন সূরা Ash-Shu'ara","شنیدن سوره Ash-Shu'ara","Écouter Sourate Ash-Shu'ara","Dengarkan Surah Ash-Shu'ara","Ascolta Sura Ash-Shu'ara","Luister Soera Ash-Shu'ara","Ouvir Surata Ash-Shu'ara","Слушать Сура Ash-Shu'ara","Dëgjo Sure Ash-Shu'ara","ฟังซูเราะห์ Ash-Shu'ara","Dinle Sure Ash-Shu'ara","سنیں سورہ Ash-Shu'ara","听苏拉 Ash-Shu'ara","Dengar Surah Ash-Shu'ara","Escuchar Sura Ash-Shu'ara","Sikiliza Sura Ash-Shu'ara","Nghe Surah An-Naml"
"استمع سورة Yunus","Listen to Surah Ibrahim","শুনুন সূরা An-Naml","شنیدن سوره An-Naml","Écouter Sourate An-Naml","Dengarkan Surah An-Naml","Ascolta Sura An-Naml","Luister Soera An-Naml","Ouvir Surata An-Naml","Слушать Сура An-Naml","Dëgjo Sure An-Naml","ฟังซูเราะห์ An-Naml","Dinle Sure An-Naml","سنیں سورہ An-Naml","听苏拉 An-Naml","Dengar Surah An-Naml","Escuchar Sura An-Naml","Sikiliza Sura An-Naml","Nghe Surah Al-Qasas"
"استمع سورة Hud","Listen to Surah Al-Hijr","শুনুন সূরা Al-Qasas","شنیدن سوره Al-Qasas","Écouter Sourate Al-Qasas","Dengarkan Surah Al-Qasas","Ascolta Sura Al-Qasas","Luister Soera Al-Qasas","Ouvir Surata Al-Qasas","Слушать Сура Al-Qasas","Dëgjo Sure Al-Qasas","ฟังซูเราะห์ Al-Qasas","Dinle Sure Al-Qasas","سنیں سورہ Al-Qasas","听苏拉 Al-Qasas","Dengar Surah Al-Qasas","Escuchar Sura Al-Qasas","Sikiliza Sura Al-Qasas","Nghe Surah Al-'Ankabut"
"استمع سورة Yusuf","Listen to Surah An-Nahl","শুনুন সূরা Al-'Ankabut","شنیدن سوره Al-'Ankabut","Écouter Sourate Al-'Ankabut","Dengarkan Surah Al-'Ankabut","Ascolta Sura Al-'Ankabut","Luister Soera Al-'Ankabut","Ouvir Surata Al-'Ankabut","Слушать Сура Al-'Ankabut","Dëgjo Sure Al-'Ankabut","ฟังซูเราะห์ Al-'Ankabut","Dinle Sure Al-'Ankabut","سنیں سورہ Al-'Ankabut","听苏拉 Al-'Ankabut","Dengar Surah Al-'Ankabut","Escuchar Sura Al-'Ankabut","Sikiliza Sura Al-'Ankabut","Nghe Surah Ar-Rum"
"استمع سورة Ar-Ra'd","Listen to Surah Al-Isra","শুনুন সূরা Ar-Rum","شنیدن سوره Ar-Rum","Écouter Sourate Ar-Rum","Dengarkan Surah Ar-Rum","Ascolta Sura Ar-Rum","Luister Soera Ar-Rum","Ouvir Surata Ar-Rum","Слушать Сура Ar-Rum","Dëgjo Sure Ar-Rum","ฟังซูเราะห์ Ar-Rum","Dinle Sure Ar-Rum","سنیں سورہ Ar-Rum","听苏拉 Ar-Rum","Dengar Surah Ar-Rum","Escuchar Sura Ar-Rum","Sikiliza Sura Ar-Rum","Nghe Surah Luqman"
"استمع سورة Ibrahim","Listen to Surah Al-Kahf","শুনুন সূরা Luqman","شنیدن سوره Luqman","Écouter Sourate Luqman","Dengarkan Surah Luqman","Ascolta Sura Luqman","Luister Soera Luqman","Ouvir Surata Luqman","Слушать Сура Luqman","Dëgjo Sure Luqman","ฟังซูเราะห์ Luqman","Dinle Sure Luqman","سنیں سورہ Luqman","听苏拉 Luqman","Dengar Surah Luqman","Escuchar Sura Luqman","Sikiliza Sura Luqman","Nghe Surah As-Sajdah"
"استمع سورة Al-Hijr","Listen to Surah Maryam","শুনুন সূরা As-Sajdah","شنیدن سوره As-Sajdah","Écouter Sourate As-Sajdah","Dengarkan Surah As-Sajdah","Ascolta Sura As-Sajdah","Luister Soera As-Sajdah","Ouvir Surata As-Sajdah","Слушать Сура As-Sajdah","Dëgjo Sure As-Sajdah","ฟังซูเราะห์ As-Sajdah","Dinle Sure As-Sajdah","سنیں سورہ As-Sajdah","听苏拉 As-Sajdah","Dengar Surah As-Sajdah","Escuchar Sura As-Sajdah","Sikiliza Sura As-Sajdah","Nghe Surah Al-Ahzab"
"استمع سورة An-Nahl","Listen to Surah Ta-Ha","শুনুন সূরা Al-Ahzab","شنیدن سوره Al-Ahzab","Écouter Sourate Al-Ahzab","Dengarkan Surah Al-Ahzab","Ascolta Sura Al-Ahzab","Luister Soera Al-Ahzab","Ouvir Surata Al-Ahzab","Слушать Сура Al-Ahzab","Dëgjo Sure Al-Ahzab","ฟังซูเราะห์ Al-Ahzab","Dinle Sure Al-Ahzab","سنیں سورہ Al-Ahzab","听苏拉 Al-Ahzab","Dengar Surah Al-Ahzab","Escuchar Sura Al-Ahzab","Sikiliza Sura Al-Ahzab","Nghe Surah Saba"
"استمع سورة Al-Isra","Listen to Surah Al-Anbiya","শুনুন সূরা Saba","شنیدن سوره Saba","Écouter Sourate Saba","Dengarkan Surah Saba","Ascolta Sura Saba","Luister Soera Saba","Ouvir Surata Saba","Слушать Сура Saba","Dëgjo Sure Saba","ฟังซูเราะห์ Saba","Dinle Sure Saba","سنیں سورہ Saba","听苏拉 Saba","Dengar Surah Saba","Escuchar Sura Saba","Sikiliza Sura Saba","Nghe Surah Fatir"
"استمع سورة Al-Kahf","Listen to Surah Al-Hajj","শুনুন সূরা Fatir","شنیدن سوره Fatir","Écouter Sourate Fatir","Dengarkan Surah Fatir","Ascolta Sura Fatir","Luister Soera Fatir","Ouvir Surata Fatir","Слушать Сура Fatir","Dëgjo Sure Fatir","ฟังซูเราะห์ Fatir","Dinle Sure Fatir","سنیں سورہ Fatir","听苏拉 Fatir","Dengar Surah Fatir","Escuchar Sura Fatir","Sikiliza Sura Fatir","Nghe Surah Ya-Sin"
"استمع سورة Maryam","Listen to Surah Al-Mu'minun","শুনুন সূরা Ya-Sin","شنیدن سوره Ya-Sin","Écouter Sourate Ya-Sin","Dengarkan Surah Ya-Sin","Ascolta Sura Ya-Sin","Luister Soera Ya-Sin","Ouvir Surata Ya-Sin","Слушать Сура Ya-Sin","Dëgjo Sure Ya-Sin","ฟังซูเราะห์ Ya-Sin","Dinle Sure Ya-Sin","سنیں سورہ Ya-Sin","听苏拉 Ya-Sin","Dengar Surah Ya-Sin","Escuchar Sura Ya-Sin","Sikiliza Sura Ya-Sin","Nghe Surah As-Saffat"
"استمع سورة Ta-Ha","Listen to Surah An-Nur","শুনুন সূরা As-Saffat","شنیدن سوره As-Saffat","Écouter Sourate As-Saffat","Dengarkan Surah As-Saffat","Ascolta Sura As-Saffat","Luister Soera As-Saffat","Ouvir Surata As-Saffat","Слушать Сура As-Saffat","Dëgjo Sure As-Saffat","ฟังซูเราะห์ As-Saffat","Dinle Sure As-Saffat","سنیں سورہ As-Saffat","听苏拉 As-Saffat","Dengar Surah As-Saffat","Escuchar Sura As-Saffat","Sikiliza Sura As-Saffat","Nghe Surah Sad"
"استمع سورة Al-Anbiya","Listen to Surah Al-Furqan","শুনুন সূরা Sad","شنیدن سوره Sad","Écouter Sourate Sad","Dengarkan Surah Sad","Ascolta Sura Sad","Luister Soera Sad","Ouvir Surata Sad","Слушать Сура Sad","Dëgjo Sure Sad","ฟังซูเราะห์ Sad","Dinle Sure Sad","سنیں سورہ Sad","听苏拉 Sad","Dengar Surah Sad","Escuchar Sura Sad","Sikiliza Sura Sad","Nghe Surah Az-Zumar"
"استمع سورة Al-Hajj","Listen to Surah Ash-Shu'ara","শুনুন সূরা Az-Zumar","شنیدن سوره Az-Zumar","Écouter Sourate Az-Zumar","Dengarkan Surah Az-Zumar","Ascolta Sura Az-Zumar","Luister Soera Az-Zumar","Ouvir Surata Az-Zumar","Слушать Сура Az-Zumar","Dëgjo Sure Az-Zumar","ฟังซูเราะห์ Az-Zumar","Dinle Sure Az-Zumar","سنیں سورہ Az-Zumar","听苏拉 Az-Zumar","Dengar Surah Az-Zumar","Escuchar Sura Az-Zumar","Sikiliza Sura Az-Zumar","Nghe Surah Ghafir"
"استمع سورة Al-Mu'minun","Listen to Surah An-Naml","শুনুন সূরা Ghafir","شنیدن سوره Ghafir","Écouter Sourate Ghafir","Dengarkan Surah Ghafir","Ascolta Sura Ghafir","Luister Soera Ghafir","Ouvir Surata Ghafir","Слушать Сура Ghafir","Dëgjo Sure Ghafir","ฟังซูเราะห์ Ghafir","Dinle Sure Ghafir","سنیں سورہ Ghafir","听苏拉 Ghafir","Dengar Surah Ghafir","Escuchar Sura Ghafir","Sikiliza Sura Ghafir","Nghe Surah Fussilat"
"استمع سورة An-Nur","Listen to Surah Al-Qasas","শুনুন সূরা Fussilat","شنیدن سوره Fussilat","Écouter Sourate Fussilat","Dengarkan Surah Fussilat","Ascolta Sura Fussilat","Luister Soera Fussilat","Ouvir Surata Fussilat","Слушать Сура Fussilat","Dëgjo Sure Fussilat","ฟังซูเราะห์ Fussilat","Dinle Sure Fussilat","سنیں سورہ Fussilat","听苏拉 Fussilat","Dengar Surah Fussilat","Escuchar Sura Fussilat","Sikiliza Sura Fussilat","Nghe Surah Ash-Shura"
"استمع سورة Al-Furqan","Listen to Surah Al-'Ankabut","শুনুন সূরা Ash-Shura","شنیدن سوره Ash-Shura","Écouter Sourate Ash-Shura","Dengarkan Surah Ash-Shura","Ascolta Sura Ash-Shura","Luister Soera Ash-Shura","Ouvir Surata Ash-Shura","Слушать Сура Ash-Shura","Dëgjo Sure Ash-Shura","ฟังซูเราะห์ Ash-Shura","Dinle Sure Ash-Shura","سنیں سورہ Ash-Shura","听苏拉 Ash-Shura","Dengar Surah Ash-Shura","Escuchar Sura Ash-Shura","Sikiliza Sura Ash-Shura","Nghe Surah Az-Zukhruf"
"استمع سورة Ash-Shu'ara","Listen to Surah Ar-Rum","শুনুন সূরা Az-Zukhruf","شنیدن سوره Az-Zukhruf","Écouter Sourate Az-Zukhruf","Dengarkan Surah Az-Zukhruf","Ascolta Sura Az-Zukhruf","Luister Soera Az-Zukhruf","Ouvir Surata Az-Zukhruf","Слушать Сура Az-Zukhruf","Dëgjo Sure Az-Zukhruf","ฟังซูเราะห์ Az-Zukhruf","Dinle Sure Az-Zukhruf","سنیں سورہ Az-Zukhruf","听苏拉 Az-Zukhruf","Dengar Surah Az-Zukhruf","Escuchar Sura Az-Zukhruf","Sikiliza Sura Az-Zukhruf","Nghe Surah Ad-Dukhan"
"استمع سورة An-Naml","Listen to Surah Luqman","শুনুন সূরা Ad-Dukhan","شنیدن سوره Ad-Dukhan","Écouter Sourate Ad-Dukhan","Dengarkan Surah Ad-Dukhan","Ascolta Sura Ad-Dukhan","Luister Soera Ad-Dukhan","Ouvir Surata Ad-Dukhan","Слушать Сура Ad-Dukhan","Dëgjo Sure Ad-Dukhan","ฟังซูเราะห์ Ad-Dukhan","Dinle Sure Ad-Dukhan","سنیں سورہ Ad-Dukhan","听苏拉 Ad-Dukhan","Dengar Surah Ad-Dukhan","Escuchar Sura Ad-Dukhan","Sikiliza Sura Ad-Dukhan","Nghe Surah Al-Jathiyah"
